timestamp,open,high,low,close
2017-12-03,7.4407,7.4431,7.4357,7.4415
2017-12-01,7.4416,7.4440,7.4384,7.4427
2017-11-30,7.4428,7.4440,7.4400,7.4417
2017-11-29,7.4427,7.4444,7.4406,7.4429
2017-11-28,7.4409,7.4435,7.4395,7.4430
2017-11-27,7.4416,7.4433,7.4403,7.4412
2017-11-26,7.4412,7.4433,7.4394,7.4408
2017-11-24,7.4422,7.4440,7.4364,7.4364
2017-11-23,7.4413,7.4433,7.4408,7.4422
2017-11-22,7.4409,7.4440,7.4390,7.4412
2017-11-21,7.4412,7.4440,7.4400,7.4413
2017-11-20,7.4403,7.4430,7.4390,7.4411
2017-11-19,7.4413,7.4421,7.4395,7.4411
2017-11-17,7.4401,7.4422,7.4390,7.4412
2017-11-16,7.4424,7.4440,7.4382,7.4403
2017-11-15,7.4400,7.4440,7.4390,7.4427
2017-11-14,7.4392,7.4420,7.4386,7.4404
2017-11-13,7.4410,7.4430,7.4388,7.4398
2017-11-12,7.4413,7.4478,7.4376,7.4409
2017-11-10,7.4405,7.4439,7.4317,7.4401
2017-11-09,7.4435,7.4450,7.4393,7.4405
2017-11-08,7.4423,7.4449,7.4410,7.4439
2017-11-07,7.4415,7.4450,7.4400,7.4424
2017-11-06,7.4425,7.4440,7.4406,7.4415
2017-11-05,7.4395,7.4454,7.4394,7.4418
2017-11-03,7.4418,7.4450,7.4400,7.4438
2017-11-02,7.4416,7.4441,7.4400,7.4421
2017-11-01,7.4412,7.4440,7.4398,7.4414
2017-10-31,7.4412,7.4430,7.4398,7.4412
2017-10-30,7.4404,7.4423,7.4390,7.4411
2017-10-29,7.4404,7.4448,7.4369,7.4404
2017-10-27,7.4420,7.4430,7.4390,7.4401
2017-10-26,7.4430,7.4450,7.4395,7.4420
2017-10-25,7.4437,7.4446,7.4400,7.4428
2017-10-24,7.4432,7.4449,7.4400,7.4438
2017-10-23,7.4432,7.4450,7.4420,7.4435
2017-10-22,7.4421,7.4486,7.4330,7.4430
2017-10-20,7.4427,7.4450,7.4413,7.4413
2017-10-19,7.4436,7.4460,7.4414,7.4431
2017-10-18,7.4439,7.4450,7.4426,7.4439
2017-10-17,7.4440,7.4450,7.4420,7.4442
2017-10-16,7.4435,7.4450,7.4420,7.4441
2017-10-15,7.4426,7.4466,7.4380,7.4434
2017-10-13,7.4431,7.4450,7.4420,7.4438
2017-10-12,7.4436,7.4450,7.4419,7.4435
2017-10-11,7.4420,7.4450,7.4410,7.4437
2017-10-10,7.4428,7.4450,7.4410,7.4423
2017-10-09,7.4423,7.4442,7.4415,7.4428
2017-10-08,7.4424,7.4468,7.4398,7.4422
2017-10-06,7.4421,7.4479,7.4397,7.4397
2017-10-05,7.4422,7.4432,7.4400,7.4427
2017-10-04,7.4421,7.4439,7.4413,7.4424
2017-10-03,7.4419,7.4433,7.4412,7.4421
2017-10-02,7.4413,7.4438,7.4400,7.4420
2017-10-01,7.4406,7.4489,7.4360,7.4410
2017-09-29,7.4420,7.4440,7.4400,7.4416
2017-09-28,7.4417,7.4432,7.4380,7.4423
2017-09-27,7.4399,7.4428,7.4390,7.4419
2017-09-26,7.4390,7.4429,7.4380,7.4400
2017-09-25,7.4397,7.4410,7.4380,7.4398
2017-09-24,7.4404,7.4435,7.4183,7.4398
2017-09-22,7.4405,7.4422,7.4376,7.4401
2017-09-21,7.4406,7.4440,7.4390,7.4408
2017-09-20,7.4402,7.4432,7.4399,7.4407
2017-09-19,7.4413,7.4429,7.4396,7.4405
2017-09-18,7.4411,7.4420,7.4398,7.4414
2017-09-17,7.4408,7.4419,7.4347,7.4410
2017-09-15,7.4400,7.4424,7.4388,7.4421
2017-09-14,7.4398,7.4470,7.4365,7.4402
2017-09-13,7.4400,7.4410,7.4380,7.4400
2017-09-12,7.4390,7.4429,7.4380,7.4403
2017-09-11,7.4398,7.4431,7.4380,7.4386
2017-09-10,7.4406,7.4416,7.4379,7.4404
2017-09-08,7.4406,7.4414,7.4380,7.4403
2017-09-07,7.4394,7.4420,7.4360,7.4405
2017-09-06,7.4378,7.4403,7.4369,7.4396
2017-09-05,7.4359,7.4429,7.4356,7.4379
2017-09-04,7.4368,7.4390,7.4336,7.4358
2017-09-03,7.4353,7.4407,7.4349,7.4368
2017-09-01,7.4371,7.4390,7.4293,7.4353
2017-08-31,7.4383,7.4429,7.4354,7.4369
2017-08-30,7.4399,7.4403,7.4368,7.4384
2017-08-29,7.4389,7.4420,7.4379,7.4400
2017-08-28,7.4394,7.4429,7.4379,7.4390
2017-08-27,7.4390,7.4413,7.4359,7.4393
2017-08-26,7.4391,7.4391,7.4391,7.4391
2017-08-25,7.4373,7.4410,7.4347,7.4368
2017-08-24,7.4368,7.4405,7.4350,7.4373
2017-08-23,7.4374,7.4390,7.4356,7.4368
2017-08-22,7.4378,7.4429,7.4350,7.4376
2017-08-21,7.4360,7.4400,7.4350,7.4380
2017-08-20,7.4368,7.4428,7.4325,7.4359
2017-08-18,7.4365,7.4380,7.4317,7.4318
2017-08-17,7.4369,7.4429,7.4340,7.4360
2017-08-16,7.4366,7.4381,7.4350,7.4369
2017-08-15,7.4362,7.4380,7.4330,7.4368
